,net1 - training loss,net1 - training accuracy,net1 - testing accuracy,net2 - training loss,net2 - training accuracy,net2 - testing accuracy,net3 - training loss,net3 - training accuracy,net3 - testing accuracy,net4 - training loss,net4 - training accuracy,net4 - testing accuracy,net5 - training loss,net5 - training accuracy,net5 - testing accuracy,net6 - training loss,net6 - training accuracy,net6 - testing accuracy,net7 - training loss,net7 - training accuracy,net7 - testing accuracy,net8 - training loss,net8 - training accuracy,net8 - testing accuracy,net9 - training loss,net9 - training accuracy,net9 - testing accuracy,net10 - training loss,net10 - training accuracy,net10 - testing accuracy,net11 - training loss,net11 - training accuracy,net11 - testing accuracy,net12 - training loss,net12 - training accuracy,net12 - testing accuracy,net13 - training loss,net13 - training accuracy,net13 - testing accuracy,net14 - training loss,net14 - training accuracy,net14 - testing accuracy,net15 - training loss,net15 - training accuracy,net15 - testing accuracy
38,3.56E-05,100,92.72,1.68E-05,100,92.94,9.96E-06,100,92.64,6.53E-06,100,93.04,4.53E-06,100,92.81,5.61E-05,99.99834,92.54,2.53E-05,100,92.46,1.45E-05,100,92.3,9.11E-06,100,92.49,6.38E-06,100,92.42,5.13E-05,99.99834,92.87,2.28E-05,100,92.87,1.24E-05,100,92.39,6.67E-06,100,92.79,3.41E-06,100,93
39,3.47E-05,100,92.8,1.68E-05,100,92.92,9.99E-06,100,92.66,6.53E-06,100,92.91,4.54E-06,100,92.81,5.35E-05,99.99834,92.41,2.52E-05,100,92.42,1.43E-05,100,92.51,9.13E-06,100,92.46,6.32E-06,100,92.33,4.99E-05,99.99834,92.86,2.24E-05,100,92.9,1.23E-05,100,92.45,6.69E-06,100,92.85,3.48E-06,100,93
40,3.46E-05,100,92.76,1.66E-05,100,93.05,9.95E-06,100,92.63,6.59E-06,100,92.95,4.55E-06,100,92.84,5.13E-05,99.99834,92.57,2.46E-05,100,92.37,1.44E-05,100,92.4,9.12E-06,100,92.53,6.34E-06,100,92.32,4.83E-05,100,92.75,2.24E-05,100,92.86,1.22E-05,100,92.52,6.76E-06,100,92.84,3.56E-06,100,93.05
41,3.35E-05,100,92.79,1.65E-05,100,93.01,9.89E-06,100,92.57,6.56E-06,100,93.06,4.56E-06,100,92.83,5.01E-05,100,92.4,2.43E-05,100,92.42,1.43E-05,100,92.51,9.12E-06,100,92.52,6.36E-06,100,92.44,4.67E-05,99.99834,92.71,2.19E-05,100,92.82,1.24E-05,100,92.42,6.82E-06,100,92.86,3.64E-06,100,93.04
42,3.31E-05,100,92.77,1.64E-05,100,92.96,9.98E-06,100,92.66,6.58E-06,100,92.95,4.56E-06,100,92.79,4.84E-05,99.99834,92.53,2.42E-05,100,92.46,1.41E-05,100,92.41,9.10E-06,100,92.54,6.35E-06,100,92.45,4.47E-05,100,92.82,2.17E-05,100,92.75,1.23E-05,100,92.42,6.83E-06,100,92.77,3.72E-06,100,93.07
43,3.28E-05,100,92.7,1.64E-05,100,92.99,9.97E-06,100,92.74,6.59E-06,100,92.95,4.63E-06,100,92.82,4.72E-05,100,92.47,2.38E-05,100,92.55,1.42E-05,100,92.56,9.18E-06,100,92.54,6.45E-06,100,92.43,4.39E-05,100,92.78,2.19E-05,100,92.87,1.23E-05,100,92.42,6.91E-06,100,92.88,3.76E-06,100,93.04
44,3.21E-05,100,92.73,1.62E-05,100,93.1,9.88E-06,100,92.68,6.59E-06,100,93,4.64E-06,100,92.83,4.58E-05,99.99834,92.46,2.37E-05,100,92.4,1.41E-05,100,92.53,9.15E-06,100,92.47,6.45E-06,100,92.39,4.28E-05,100,92.89,2.16E-05,100,92.84,1.24E-05,100,92.45,6.95E-06,100,92.75,3.78E-06,100,93.04
45,3.17E-05,100,92.76,1.61E-05,100,92.99,9.95E-06,100,92.71,6.62E-06,100,93.01,4.63E-06,100,92.85,4.47E-05,100,92.43,2.37E-05,100,92.38,1.41E-05,100,92.6,9.14E-06,100,92.52,6.42E-06,100,92.47,4.21E-05,100,92.86,2.18E-05,100,92.8,1.24E-05,100,92.44,6.93E-06,100,92.8,3.93E-06,100,93.04
46,3.16E-05,100,92.84,1.61E-05,100,92.96,9.97E-06,100,92.67,6.61E-06,100,92.97,4.66E-06,100,92.85,4.36E-05,100,92.45,2.35E-05,100,92.45,1.42E-05,100,92.54,9.13E-06,100,92.5,6.50E-06,100,92.34,4.07E-05,100,92.84,2.16E-05,100,92.81,1.24E-05,100,92.42,7.00E-06,100,92.83,3.97E-06,100,93.03
47,3.11E-05,100,92.78,1.62E-05,100,93.01,9.94E-06,100,92.68,6.68E-06,100,92.91,4.67E-06,100,92.87,4.34E-05,100,92.44,2.30E-05,100,92.48,1.41E-05,100,92.41,9.17E-06,100,92.49,6.45E-06,100,92.44,4.02E-05,100,92.84,2.17E-05,100,92.89,1.26E-05,100,92.37,7.13E-06,100,92.87,4.04E-06,100,93.08
48,3.08E-05,100,92.81,1.62E-05,100,92.97,9.97E-06,100,92.69,6.67E-06,100,93,4.69E-06,100,92.87,4.21E-05,100,92.45,2.32E-05,100,92.42,1.41E-05,100,92.47,9.24E-06,100,92.51,6.49E-06,100,92.39,3.93E-05,100,92.77,2.12E-05,100,92.84,1.26E-05,100,92.44,7.19E-06,100,92.79,4.12E-06,100,93.01
49,3.08E-05,100,92.9,1.61E-05,100,92.89,9.90E-06,100,92.73,6.61E-06,100,93.03,4.70E-06,100,92.87,4.14E-05,100,92.38,2.28E-05,100,92.36,1.42E-05,100,92.49,9.17E-06,100,92.49,6.53E-06,100,92.36,3.87E-05,100,92.9,2.16E-05,100,92.71,1.26E-05,100,92.4,7.20E-06,100,92.86,4.19E-06,100,93.01
